game_id,attendance,venue,officials
401507185,4316,Mohegan Sun Arena,Angelica Suffren|Isaac Barnett|Ryan Sassano
401507186,6323,Wintrust Arena,Toni Patillo|Intae Hwang|Blanca Burns
401507187,8518,Michelob ULTRA Arena,Amy Bonner|Charles Watson|Clare Simmons
401507188,4200,CareFirst Arena,Michael Price|Angel Kent|Jenna Reneau
401507189,5265,crypto.com Arena,Amy Bonner|Charles Watson|Marcy Williams
401507190,5020,College Park Center,Angelica Suffren|Kevin Fahy|Ashley Gloss
401507191,9278,Barclays Center,Eric Brewton|Toni Patillo|Clare Simmons
401507192,4009,CareFirst Arena,Gina Cross|Isaac Barnett|Randy Richardson
401507193,4024,Gainbridge Fieldhouse,Michael Price|Charles Watson|Angel Kent
401507194,6289,crypto.com Arena,Roy Gulbeyan|Tyler Ricks|Sha'Rae Mitchell
401507195,8036,Michelob ULTRA Arena,Jeff Wooten|Fatou Cissoko-Stephens|Ryan Sassano
401507196,3392,College Park Center,Tim Greene|Eric Brewton|Agon Abazi
401507197,4180,crypto.com Arena,Angelica Suffren|Toni Patillo|Catherine Chang
401507198,7022,Climate Pledge Arena,Fatou Cissoko-Stephens|Marcy Williams|Tiara Cruse
401507199,11580,Mortgage Matchup Center,Charles Watson|Randy Richardson|Angel Kent
401507200,6158,Wintrust Arena,Jeff Wooten|Biniam Maru|Sha'Rae Mitchell
401507201,7024,Target Center,Gina Cross|Isaac Barnett|Angel Kent
401507202,7734,Climate Pledge Arena,Jeff Smith|Randy Richardson|Kevin Fahy
401507203,3209,Gateway Center,Fatou Cissoko-Stephens|Tiara Cruse|Intae Hwang
401507204,5766,crypto.com Arena,Michael Price|Tim Greene|Ryan Sassano
401507205,8310,Michelob ULTRA Arena,Michael Price|Biniam Maru|Sha'Rae Mitchell
401507206,9122,Climate Pledge Arena,Jeff Wooten|Ryan Sassano|Teresa Stuck
401507207,6517,Mohegan Sun Arena,Jeff Smith|Fatou Cissoko-Stephens|Agon Abazi
401507208,7285,Barclays Center,Tim Greene|Marcy Williams|Kevin Fahy
401507209,6380,crypto.com Arena,Gina Cross|Isaac Barnett|Randy Richardson
401507210,8143,Michelob ULTRA Arena,Jeff Wooten|Isaac Barnett|Catherine Chang
401507211,7344,Mohegan Sun Arena,Michael Price|Marcy Williams|Ashley Gloss
401507212,7014,Target Center,Jeff Smith|Gina Cross|Randy Richardson
401507213,5652,Mortgage Matchup Center,Eric Brewton|Toni Patillo|Biniam Maru
401507214,8810,Wintrust Arena,Jeff Wooten|Angel Kent|Teresa Stuck
401507215,3624,CareFirst Arena,Roy Gulbeyan|Kevin Fahy|Agon Abazi
401507216,9587,Michelob ULTRA Arena,Angelica Suffren|Fatou Cissoko-Stephens|Eric Brewton
401507217,9047,Mortgage Matchup Center,Jeff Smith|Gina Cross|Isaac Barnett
401507218,6894,Climate Pledge Arena,Michael Price|Tim Greene|Clare Simmons
401507219,3209,Gateway Center,Charles Watson|Marcy Williams|Randy Richardson
401507220,7272,Wintrust Arena,Roy Gulbeyan|Kevin Fahy|Sha'Rae Mitchell
401507221,8596,Michelob ULTRA Arena,Eric Brewton|Toni Patillo|Clare Simmons
401507222,8777,Mortgage Matchup Center,Jeff Wooten|Angel Kent|Intae Hwang
401507223,3209,Gateway Center,Tim Greene|Sha'Rae Mitchell|Catherine Chang
401507225,4544,College Park Center,Fatou Cissoko-Stephens|Eric Brewton|Toni Patillo
401507224,4004,Gainbridge Fieldhouse,Roy Gulbeyan|Charles Watson|Tyler Ricks
401507226,9110,Climate Pledge Arena,Isaac Barnett|Kevin Fahy|Agon Abazi
401507227,7151,Barclays Center,Tim Greene|Biniam Maru|Clare Simmons
401507228,7624,Target Center,Roy Gulbeyan|Intae Hwang|Kevin Fahy
401507229,10177,Michelob ULTRA Arena,Gina Cross|Isaac Barnett|Blanca Burns
401507230,5912,crypto.com Arena,Angelica Suffren|Teresa Stuck|Jenna Reneau
401507231,5479,Mohegan Sun Arena,Jeff Smith|Eric Brewton|Toni Patillo
401507232,4200,CareFirst Arena,Jeff Smith|Eric Brewton|Teresa Stuck
401507233,7911,Wintrust Arena,Jeff Wooten|Fatou Cissoko-Stephens|Charles Watson
401507234,6251,College Park Center,Tim Greene|Angel Kent|Kevin Fahy
401507235,7714,Target Center,Angelica Suffren|Maj Forsberg|Sha'Rae Mitchell
401507236,6789,Barclays Center,Roy Gulbeyan|Ryan Sassano|Toni Patillo
401507237,6558,Mohegan Sun Arena,Roy Gulbeyan|Maj Forsberg|Sha'Rae Mitchell
401507238,3612,Gainbridge Fieldhouse,Jeff Wooten|Charles Watson|Agon Abazi
401507239,9206,Mortgage Matchup Center,Angelica Suffren|Fatou Cissoko-Stephens|Tyler Ricks
401507240,7701,Target Center,Tim Greene|Marcy Williams|Clare Simmons
401507241,7325,Wintrust Arena,Jeff Smith|Angel Kent|Toni Patillo
401507242,3571,CareFirst Arena,Roy Gulbeyan|Jeff Wooten|Biniam Maru
401507243,10281,Michelob ULTRA Arena,Charles Watson|Ryan Sassano|Ashley Gloss
401507244,6123,Gainbridge Fieldhouse,Tim Greene|Eric Brewton|Blanca Burns
401507245,9025,Wintrust Arena,Tiara Cruse|Randy Richardson|Catherine Chang
401507246,13531,Target Center,Fatou Cissoko-Stephens|Maj Forsberg|Jenna Reneau
401507247,2546,Gateway Center,Amy Bonner|Angelica Suffren|Biniam Maru
401507248,8085,crypto.com Arena,Jeff Smith|Toni Patillo|Teresa Stuck
401558893,9472,Michelob ULTRA Arena,Eric Brewton|Randy Richardson|Ashley Gloss
401507249,2394,Gateway Center,Michael Price|Eric Brewton|Blanca Burns
401507250,7788,Mortgage Matchup Center,Tiara Cruse|Intae Hwang|Sha'Rae Mitchell
401507251,14406,Capital One Arena,Isaac Barnett|Agon Abazi|Ashley Gloss
401507252,9012,Barclays Center,Fatou Cissoko-Stephens|Tim Greene|Teresa Stuck
401507253,8054,Mohegan Sun Arena,Jeff Smith|Kevin Fahy|Biniam Maru
401507254,7014,Target Center,Randy Richardson|Tyler Ricks|Clare Simmons
401507255,11292,Mortgage Matchup Center,Amy Bonner|Marcy Williams|Jenna Reneau
401507256,7873,Climate Pledge Arena,Roy Gulbeyan|Ryan Sassano|Catherine Chang
401507257,4200,CareFirst Arena,Jeff Smith|Angel Kent|Clare Simmons
401507258,3209,Gateway Center,Isaac Barnett|Randy Richardson|Blanca Burns
401507261,7801,Target Center,Roy Gulbeyan|Jeff Wooten|Fatou Cissoko-Stephens
401507260,5041,College Park Center,Michael Price|Amy Bonner|Marcy Williams
401507259,8655,Climate Pledge Arena,Charles Watson|Eric Brewton|Tyler Ricks
401507263,4200,CareFirst Arena,Isaac Barnett|Toni Patillo|Catherine Chang
401507262,7371,Barclays Center,Tiara Cruse|Blanca Burns|Kevin Fahy
401507264,3209,Gateway Center,Tiara Cruse|Isaac Barnett|Angel Kent
401507265,6118,Barclays Center,Michael Price|Jeff Wooten|Marcy Williams
401507266,9025,Wintrust Arena,Eric Brewton|Toni Patillo|Clare Simmons
401507267,4222,College Park Center,Tim Greene|Agon Abazi|Jenna Reneau
401507268,5565,crypto.com Arena,Roy Gulbeyan|Fatou Cissoko-Stephens|Kelly Broomfield
401507269,7024,Target Center,Tyler Ricks|Toni Patillo|Jenna Reneau
401507270,11970,crypto.com Arena,Charles Watson|Tim Greene|Isaac Barnett
401507271,6206,Barclays Center,Jeff Smith|Randy Richardson|Agon Abazi
401507272,7213,Wintrust Arena,Amy Bonner|Fatou Cissoko-Stephens|Tiara Cruse
401507273,4048,College Park Center,Roy Gulbeyan|Michael Price|Intae Hwang
401558197,6129,Barclays Center,Randy Richardson|Kevin Fahy|Kelly Broomfield
401507274,8275,Mohegan Sun Arena,Eric Brewton|Isaac Barnett|Catherine Chang
401507275,3209,Gateway Center,Jeff Wooten|Angelica Suffren|Ryan Sassano
401507276,5196,Gainbridge Fieldhouse,Maj Forsberg|Toni Patillo|Jenna Reneau
401507277,8914,Wintrust Arena,Michael Price|Gina Cross|Tim Greene
401507279,8139,crypto.com Arena,Amy Bonner|Tiara Cruse|Kevin Fahy
401507278,10213,Michelob ULTRA Arena,Randy Richardson|Tyler Ricks|Angel Kent
401507280,4894,Mohegan Sun Arena,Jeff Smith|Roy Gulbeyan|Ashley Gloss
401507281,3018,Gainbridge Fieldhouse,Randy Richardson|Kevin Fahy|Sha'Rae Mitchell
401507282,8366,Michelob ULTRA Arena,Jeff Wooten|Gina Cross|Clare Simmons
401507283,6498,crypto.com Arena,Eric Brewton|Angel Kent|Biniam Maru
401507284,7421,Climate Pledge Arena,Angelica Suffren|Teresa Stuck|Blanca Burns
401507285,7564,Mortgage Matchup Center,Amy Bonner|Eric Brewton|Biniam Maru
401507286,3498,Gainbridge Fieldhouse,Michael Price|Charles Watson|Angel Kent
401507287,3747,CareFirst Arena,Tyler Ricks|Toni Patillo|Sha'Rae Mitchell
401507288,3762,College Park Center,Marcy Williams|Kevin Fahy|Ashley Gloss
401507289,7631,Target Center,Angelica Suffren|Teresa Stuck|Blanca Burns
401507290,9411,Mortgage Matchup Center,Roy Gulbeyan|Jeff Wooten|Marcy Williams
401507291,3209,Gateway Center,Jeff Smith|Tyler Ricks|Blanca Burns
401507292,11418,Barclays Center,Amy Bonner|Maj Forsberg|Toni Patillo
401507293,4073,CareFirst Arena,Michael Price|Gina Cross|Ashley Gloss
401507294,4057,College Park Center,Angelica Suffren|Charles Watson|Angel Kent
401507295,10212,Climate Pledge Arena,Gina Cross|Eric Brewton|Kevin Fahy
401507296,3006,Gainbridge Fieldhouse,Amy Bonner|Ryan Sassano|Catherine Chang
401507297,5099,Wintrust Arena,Maj Forsberg|Tiara Cruse|Intae Hwang
401507298,5193,College Park Center,Jeff Smith|Michael Price|Tyler Ricks
401507299,6610,Mortgage Matchup Center,Tim Greene|Teresa Stuck|Jenna Reneau
401507300,2551,Gainbridge Fieldhouse,Isaac Barnett|Toni Patillo|Agon Abazi
401507301,7186,Mortgage Matchup Center,Angelica Suffren|Ryan Sassano|Ashley Gloss
401507302,7649,Climate Pledge Arena,Michael Price|Tiara Cruse|Catherine Chang
401507303,8070,Barclays Center,Tim Greene|Randy Richardson|Tyler Ricks
401507304,9364,Michelob ULTRA Arena,Fatou Cissoko-Stephens|Maj Forsberg|Tiara Cruse
401507305,7119,crypto.com Arena,Jeff Wooten|Eric Brewton|Clare Simmons
401507306,4179,College Park Center,Roy Gulbeyan|Amy Bonner|Biniam Maru
401507307,3796,CareFirst Arena,Charles Watson|Marcy Williams|Isaac Barnett
401507309,5019,Gainbridge Fieldhouse,Jeff Smith|Maj Forsberg|Tim Greene
401507308,10107,Climate Pledge Arena,Fatou Cissoko-Stephens|Eric Brewton|Agon Abazi
401507310,8564,Michelob ULTRA Arena,Randy Richardson|Ryan Sassano|Kevin Fahy
401507376,8967,Michelob ULTRA Arena,Roy Gulbeyan|Eric Brewton|Isaac Barnett
401507311,9230,Michelob ULTRA Arena,Jeff Wooten|Sha'Rae Mitchell|Ashley Gloss
401507312,6584,Mohegan Sun Arena,Randy Richardson|Tyler Ricks|Angel Kent
401507313,3506,Gainbridge Fieldhouse,Michael Price|Eric Brewton|Agon Abazi
401507314,2957,Gateway Center,Gina Cross|Fatou Cissoko-Stephens|Tiara Cruse
401507315,9652,Mortgage Matchup Center,Jeff Smith|Maj Forsberg|Catherine Chang
401507316,8865,Climate Pledge Arena,Kevin Fahy|Clare Simmons|Ashley Gloss
401507317,10348,Michelob ULTRA Arena,Roy Gulbeyan|Angelica Suffren|Charles Watson
401507318,4200,CareFirst Arena,Toni Patillo|Sha'Rae Mitchell|Ashley Gloss
401507319,6901,Wintrust Arena,Jeff Smith|Maj Forsberg|Agon Abazi
401507320,11807,Mortgage Matchup Center,Isaac Barnett|Ryan Sassano|Angel Kent
401507321,6525,Target Center,Michael Price|Tiara Cruse|Tyler Ricks
401507322,3209,Gateway Center,Maj Forsberg|Ryan Sassano|Agon Abazi
401507323,3058,CareFirst Arena,Roy Gulbeyan|Angelica Suffren|Intae Hwang
401507324,4822,Wintrust Arena,Tim Greene|Isaac Barnett|Clare Simmons
401507325,6921,Target Center,Charles Watson|Eric Brewton|Kevin Fahy
401507326,3469,crypto.com Arena,Gina Cross|Randy Richardson|Sha'Rae Mitchell
401507327,9168,Mohegan Sun Arena,Charles Watson|Maj Forsberg|Biniam Maru
401507328,2644,Gainbridge Fieldhouse,Roy Gulbeyan|Fatou Cissoko-Stephens|Catherine Chang
401507329,8084,Wintrust Arena,Eric Brewton|Ryan Sassano|Ashley Gloss
401507330,3931,College Park Center,Tim Greene|Angel Kent|Clare Simmons
401507331,2957,Gateway Center,Isaac Barnett|Toni Patillo|Teresa Stuck
401507332,4200,CareFirst Arena,Jeff Smith|Angel Kent|Teresa Stuck
401507333,7101,Target Center,Sha'Rae Mitchell|Ashley Gloss|Catherine Chang
401507334,6783,Mohegan Sun Arena,Fatou Cissoko-Stephens|Charles Watson|Randy Richardson
401507335,4034,Gainbridge Fieldhouse,Angelica Suffren|Marcy Williams|Clare Simmons
401507336,12163,Mortgage Matchup Center,Gina Cross|Maj Forsberg|Toni Patillo
401507337,9893,Climate Pledge Arena,Jeff Wooten|Ryan Sassano|Biniam Maru
401507338,11615,Barclays Center,Fatou Cissoko-Stephens|Isaac Barnett|Randy Richardson
401507339,2785,Gateway Center,Jeff Smith|Roy Gulbeyan|Sha'Rae Mitchell
401507340,3708,CareFirst Arena,Angelica Suffren|Gina Cross|Charles Watson
401507341,6041,crypto.com Arena,Michael Price|Ashley Gloss|Catherine Chang
401507342,7794,Mohegan Sun Arena,Tim Greene|Marcy Williams|Kevin Fahy
401507343,8619,Michelob ULTRA Arena,Jeff Wooten|Tiara Cruse|Biniam Maru
401507344,6101,crypto.com Arena,Jeff Smith|Eric Brewton|Teresa Stuck
401507345,3137,Gainbridge Fieldhouse,Fatou Cissoko-Stephens|Maj Forsberg|Catherine Chang
401507346,8276,Barclays Center,Gina Cross|Ryan Sassano|Toni Patillo
401507347,7114,Target Center,Isaac Barnett|Randy Richardson|Agon Abazi
401507348,9319,Michelob ULTRA Arena,Marcy Williams|Sha'Rae Mitchell|Ashley Gloss
401507349,8223,Wintrust Arena,Angelica Suffren|Isaac Barnett|Toni Patillo
401507350,5058,College Park Center,Gina Cross|Eric Brewton|Kevin Fahy
401507351,7314,Target Center,Jeff Wooten|Fatou Cissoko-Stephens|Ryan Sassano
401507352,2550,crypto.com Arena,Tim Greene|Agon Abazi|Sha'Rae Mitchell
401507353,4783,Mohegan Sun Arena,Isaac Barnett|Angel Kent|Ashley Gloss
401507354,2450,Gainbridge Fieldhouse,Jeff Wooten|Randy Richardson|Sha'Rae Mitchell
401507355,4195,College Park Center,Charles Watson|Tim Greene|Clare Simmons
401507356,7038,Mortgage Matchup Center,Jeff Smith|Roy Gulbeyan|Kevin Fahy
401507357,2731,Gateway Center,Angelica Suffren|Charles Watson|Maj Forsberg
401507358,6275,Barclays Center,Roy Gulbeyan|Jeff Wooten|Ryan Sassano
401507359,5064,Mohegan Sun Arena,Roy Gulbeyan|Angelica Suffren|Fatou Cissoko-Stephens
401507360,4210,CareFirst Arena,Tim Greene|Eric Brewton|Ashley Gloss
401507361,7994,Wintrust Arena,Maj Forsberg|Toni Patillo|Kevin Fahy
401507362,4546,College Park Center,Jeff Wooten|Tiara Cruse|Sha'Rae Mitchell
401507363,13206,Mortgage Matchup Center,Michael Price|Gina Cross|Randy Richardson
401507364,3207,Gateway Center,Roy Gulbeyan|Jeff Wooten|Fatou Cissoko-Stephens
401507365,6377,Mohegan Sun Arena,Michael Price|Charles Watson|Eric Brewton
401507366,4009,Gainbridge Fieldhouse,Jeff Smith|Tiara Cruse|Ashley Gloss
401507367,8306,Barclays Center,Angelica Suffren|Isaac Barnett|Angel Kent
401507368,17406,T-Mobile Arena,Maj Forsberg|Tim Greene|Sha'Rae Mitchell
401507369,10728,Climate Pledge Arena,Randy Richardson|Toni Patillo|Kevin Fahy
401578549,5056,Mohegan Sun Arena,Roy Gulbeyan|Fatou Cissoko-Stephens|Maj Forsberg
401578550,12927,T-Mobile Arena,Michael Price|Angelica Suffren|Tiara Cruse|Kevin Fahy
401578551,8789,Barclays Center,Tim Greene|Randy Richardson|Blanca Burns
401578552,5053,College Park Center,Eric Brewton|Isaac Barnett|Tyler Ricks|Toni Patillo
401578553,6673,Mohegan Sun Arena,Tim Greene|Isaac Barnett|Sha'Rae Mitchell
401578554,9000,Michelob ULTRA Arena,Jeff Wooten|Marcy Williams|Eric Brewton|Angel Kent
401578555,0,Barclays Center,Roy Gulbeyan|Tiara Cruse|Biniam Maru|Jenna Reneau
401578556,4798,College Park Center,Fatou Cissoko-Stephens|Maj Forsberg|Randy Richardson|Kevin Fahy
401578557,8724,Target Center,Michael Price|Jeff Wooten|Eric Brewton|Toni Patillo
401578561,9442,Barclays Center,Roy Gulbeyan|Michael Price|Angel Kent
401578562,9784,Michelob ULTRA Arena,Tim Greene|Eric Brewton|Blanca Burns|Sha'Rae Mitchell
401578563,10009,Barclays Center,Jeff Wooten|Fatou Cissoko-Stephens|Maj Forsberg
401578564,9286,Michelob ULTRA Arena,Isaac Barnett|Randy Richardson|Toni Patillo|Blanca Burns
401578565,9162,Mohegan Sun Arena,Eric Brewton|Isaac Barnett|Toni Patillo
401578566,6251,College Park Center,Roy Gulbeyan|Fatou Cissoko-Stephens|Maj Forsberg|Jenna Reneau
401578567,8196,Mohegan Sun Arena,Maj Forsberg|Tim Greene|Randy Richardson
401578571,10300,Michelob ULTRA Arena,Roy Gulbeyan|Fatou Cissoko-Stephens|Tim Greene
401578572,10232,Michelob ULTRA Arena,Michael Price|Tiara Cruse|Eric Brewton
401578573,17143,Barclays Center,Maj Forsberg|Isaac Barnett|Randy Richardson
401578574,16851,Barclays Center,Michael Price|Tiara Cruse|Eric Brewton
401649378,7010,Target Center,Tim Greene|Blanca Burns|Biniam Maru
401653060,6251,College Park Center,Jeff Smith|Jeff Wooten|Gina Cross
401653631,0,Gateway Center,Angelica Suffren|Angel Kent|Sarah Williams
401647556,16655,Rogers Place,Isaac Barnett|Toni Patillo|Clare Simmons
401649379,3132,Wintrust Arena,Maj Forsberg|Ryan Sassano|Tyler Ricks
401649380,0,Climate Pledge Arena,Charles Watson|Randy Richardson|Catherine Chang
401653632,4112,CareFirst Arena,Fatou Cissoko-Stephens|Blanca Burns|Gerda Gatling
401649560,5617,Mohegan Sun Arena,Kevin Fahy|Paul Tuomey|Jenna Reneau
401653633,13028,Gainbridge Fieldhouse,Amy Bonner|Jeff Wooten|Agon Abazi
401653634,4598,Mortgage Matchup Center,Roy Gulbeyan|Angel Kent|Kelly Broomfield
401653736,0,Colonial Life Arena,Marcy Williams|Eric Brewton|Teresa Stuck
401620178,4200,CareFirst Arena,Charles Watson|Tim Greene|Biniam Maru
401620219,8910,Mohegan Sun Arena,Fatou Cissoko-Stephens|Marcy Williams|Isaac Barnett
401620220,10419,Michelob ULTRA Arena,Roy Gulbeyan|Teresa Stuck|Kevin Fahy
401620221,8508,Climate Pledge Arena,Eric Brewton|Randy Richardson|Catherine Chang
401620222,6251,College Park Center,Maj Forsberg|Angel Kent|Clare Simmons
401620223,3847,LBS Financial Credit Union Pyramid,Gina Cross|Randy Richardson|Kevin Fahy
401620224,17274,Gainbridge Fieldhouse,Toni Patillo|Jenna Reneau|Kelly Broomfield
401620225,6874,Mohegan Sun Arena,Jeff Smith|Kevin Fahy|Sarah Williams
401620226,7208,Target Center,Amy Bonner|Angel Kent|Clare Simmons
401620227,17735,Barclays Center,Roy Gulbeyan|Maj Forsberg|Agon Abazi
401620228,10286,Michelob ULTRA Arena,Eric Brewton|Toni Patillo|Biniam Maru
401620229,6251,College Park Center,Angelica Suffren|Charles Watson|Blanca Burns
401620230,10251,Mortgage Matchup Center,Fatou Cissoko-Stephens|Ryan Sassano|Tyler Ricks
401620231,4200,CareFirst Arena,Isaac Barnett|Randy Richardson|Gerda Gatling
401620232,17274,Gainbridge Fieldhouse,Marcy Williams|Randy Richardson|Jenna Reneau
401620233,9381,Barclays Center,Fatou Cissoko-Stephens|Ryan Sassano|Toni Patillo
401620234,3265,Gateway Center,Isaac Barnett|Toni Patillo|Paul Tuomey
401620235,10374,Michelob ULTRA Arena,Charles Watson|Maj Forsberg|Tim Greene
401620236,3627,LBS Financial Credit Union Pyramid,Roy Gulbeyan|Jeff Wooten|Agon Abazi
401620237,18343,Climate Pledge Arena,Roy Gulbeyan|Jeff Wooten|Biniam Maru
401620238,6152,Mohegan Sun Arena,Tim Greene|Angel Kent|Gerda Gatling
401620239,12049,Barclays Center,Marcy Williams|Isaac Barnett|Paul Tuomey
401620240,7474,Mortgage Matchup Center,Amy Bonner|Angelica Suffren|Biniam Maru
401620241,19103,crypto.com Arena,Maj Forsberg|Tyler Ricks|Sarah Williams
401620242,7010,Target Center,Angelica Suffren|Gina Cross|Eric Brewton
401620243,9025,Wintrust Arena,Jeff Wooten|Fatou Cissoko-Stephens|Clare Simmons
401620244,10399,Michelob ULTRA Arena,Amy Bonner|Angel Kent|Kelly Broomfield
401620245,8846,Climate Pledge Arena,Jeff Smith|Maj Forsberg|Blanca Burns
401620246,8339,Mortgage Matchup Center,Roy Gulbeyan|Jenna Reneau|Catherine Chang
401620247,3265,Gateway Center,Tiara Cruse|Randy Richardson|Agon Abazi
401620248,10340,crypto.com Arena,Jeff Smith|Angel Kent|Kelly Broomfield
401620249,6489,Mohegan Sun Arena,Jeff Smith|Randy Richardson|Agon Abazi
401620250,16013,Gainbridge Fieldhouse,Isaac Barnett|Teresa Stuck|Clare Simmons
401620251,7807,Wintrust Arena,Tim Greene|Eric Brewton|Ryan Sassano
401620252,9182,Barclays Center,Amy Bonner|Clare Simmons|Sarah Williams
401620253,4200,CareFirst Arena,Angelica Suffren|Tim Greene|Eric Brewton
401620254,7409,Target Center,Roy Gulbeyan|Teresa Stuck|Jenna Reneau
401620255,15022,Gainbridge Fieldhouse,Amy Bonner|Fatou Cissoko-Stephens|Charles Watson
401620256,7911,Wintrust Arena,Roy Gulbeyan|Kevin Fahy|Agon Abazi
401620257,4015,Gateway Center,Maj Forsberg|Angel Kent|Clare Simmons
